     z           Phi            Tk          Phi_mini       zpp[0]
35.000000   0.000000E+00   2.563500E+01   0.000000E+00   34.906536
34.190166   3.736108E-13   2.451678E+01   1.549853E-09   34.202366
33.500164   7.025524E-13   2.357492E+01   2.443534E-09   33.512005
32.823692   1.298101E-12   2.266812E+01   3.796530E-09   32.835186
32.160480   2.358274E-12   2.179516E+01   5.837505E-09   32.171638
31.510277   4.214965E-12   2.095489E+01   8.844944E-09   31.521109
30.872822   7.416407E-12   2.014618E+01   1.321438E-08   30.883337
30.247864   1.285298E-11   1.936793E+01   1.947525E-08   30.258072
29.635162   2.195087E-11   1.861912E+01   2.832754E-08   29.645071
29.034473   3.696131E-11   1.789876E+01   4.068399E-08   29.044092
28.445562   6.139329E-11   1.720592E+01   5.774364E-08   28.454899
27.868198   1.006335E-10   1.653972E+01   8.131875E-08   27.877262
27.302156   1.628506E-10   1.589933E+01   1.131773E-07   27.310955
26.747211   2.603022E-10   1.528399E+01   1.557487E-07   26.755753
26.203150   4.111549E-10   1.469300E+01   2.120086E-07   26.211441
25.669756   6.419181E-10   1.412572E+01   2.855702E-07   25.677805
25.146820   9.910871E-10   1.358158E+01   3.807730E-07   25.154633
24.634138   1.513695E-09   1.306010E+01   5.044951E-07   24.641722
24.131508   2.288000E-09   1.256093E+01   6.622082E-07   24.138870
23.638733   3.424471E-09   1.208370E+01   8.611327E-07   23.645880
23.155621   5.076631E-09   1.162822E+01   1.109774E-06   23.162560
22.681982   7.456881E-09   1.119434E+01   1.417859E-06   22.688717
22.217630   1.085697E-08   1.078208E+01   1.798875E-06   22.224169
21.762383   1.567270E-08   1.039166E+01   2.268214E-06   21.768728
21.316061   2.243948E-08   1.002328E+01   2.836907E-06   21.322222
20.878492   3.187550E-08   9.677258E+00   3.520960E-06   20.884474
20.449503   4.494011E-08   9.354250E+00   4.337589E-06   20.455309
20.028925   6.289432E-08   9.055075E+00   5.312942E-06   20.034561
19.616592   8.743118E-08   8.780693E+00   6.472206E-06   19.622063
19.212347   1.207434E-07   8.532256E+00   7.829460E-06   19.217657
18.816027   1.657778E-07   8.311151E+00   9.408241E-06   18.821182
18.427477   2.263535E-07   8.119164E+00   1.123254E-05   18.432482
18.046547   3.074261E-07   7.958321E+00   1.336186E-05   18.051405
17.673086   4.154663E-07   7.831559E+00   1.579764E-05   17.677803
17.306948   5.593134E-07   7.741621E+00   1.856522E-05   17.311525
16.947987   7.382275E-07   7.691972E+00   2.169354E-05   16.952431
16.596067   9.782240E-07   7.686704E+00   2.524961E-05   16.600382
16.251045   1.282646E-06   7.731187E+00   2.924869E-05   16.255234
15.912790   1.685950E-06   7.830299E+00   3.369333E-05   15.916856
15.581167   2.197868E-06   7.989961E+00   3.861407E-05   15.585114
15.256047   2.839232E-06   8.217594E+00   4.411567E-05   15.259878
14.937301   3.656608E-06   8.523444E+00   5.017617E-05   14.941020
14.624805   4.716554E-06   8.917609E+00   5.678462E-05   14.628415
14.318437   6.046924E-06   9.410892E+00   6.397010E-05   14.321941
14.018076   7.711586E-06   1.002024E+01   7.191298E-05   14.021478
13.723604   9.782711E-06   1.076174E+01   8.048707E-05   13.726907
13.434906   1.235155E-05   1.165527E+01   8.968347E-05   13.438112
13.151869   1.555028E-05   1.272361E+01   9.958936E-05   13.154981
12.874381   1.948236E-05   1.400038E+01   1.103272E-04   12.877402
12.602335   2.429881E-05   1.551561E+01   1.217433E-04   12.605268
12.335623   3.009919E-05   1.730019E+01   1.338572E-04   12.338470
12.074141   3.725716E-05   1.939975E+01   1.468841E-04   12.076904
11.817785   4.592420E-05   2.186655E+01   1.606994E-04   11.820468
11.566456   5.648310E-05   2.475580E+01   1.751973E-04   11.569060
11.320055   6.911173E-05   2.813771E+01   1.905506E-04   11.322583
11.078485   8.434153E-05   3.210771E+01   2.069762E-04   11.080940
10.841653   1.026907E-04   3.675219E+01   2.241079E-04   10.844036
