     z           Phi            Tk          Phi_mini       zpp[0]
35.000000   0.000000E+00   2.563500E+01   0.000000E+00   34.890705
34.064426   3.037486E-13   2.434944E+01   1.410807E-09   34.185760
33.376888   5.700352E-13   2.341577E+01   2.223994E-09   33.494671
32.702835   1.050928E-12   2.251686E+01   3.451659E-09   32.817173
32.041992   1.904586E-12   2.165148E+01   5.277335E-09   32.152985
31.394112   3.394983E-12   2.081850E+01   7.985963E-09   31.501854
30.758934   5.957047E-12   2.001681E+01   1.192436E-08   30.863523
30.136211   1.029277E-11   1.924533E+01   1.756207E-08   30.237740
29.525698   1.752094E-11   1.850305E+01   2.552425E-08   29.624254
28.927155   2.939861E-11   1.778898E+01   3.662433E-08   29.022827
28.340349   4.864726E-11   1.710221E+01   5.190646E-08   28.433222
27.765047   7.942402E-11   1.644186E+01   7.269350E-08   27.855202
27.201029   1.279987E-10   1.580715E+01   1.010561E-07   27.288546
26.648067   2.037415E-10   1.519730E+01   1.389129E-07   26.733023
26.105949   3.204174E-10   1.461164E+01   1.888718E-07   26.188419
25.574459   4.980504E-10   1.404953E+01   2.540949E-07   25.654516
25.053392   7.654594E-10   1.351043E+01   3.383723E-07   25.131105
24.542542   1.163671E-09   1.299386E+01   4.461931E-07   24.617981
24.041708   1.750482E-09   1.249946E+01   5.848609E-07   24.114941
23.550695   2.606527E-09   1.202693E+01   7.595525E-07   23.621784
23.069309   3.843202E-09   1.157609E+01   9.775487E-07   23.138317
22.597363   5.613016E-09   1.114680E+01   1.247207E-06   22.664352
22.134670   8.122946E-09   1.073908E+01   1.577980E-06   22.199699
21.681049   1.165141E-08   1.035317E+01   1.984317E-06   21.744175
21.236322   1.656998E-08   9.989333E+00   2.478649E-06   21.297602
20.800318   2.337067E-08   9.648023E+00   3.072086E-06   20.859804
20.372860   3.270008E-08   9.329783E+00   3.779484E-06   20.430605
19.953785   4.540191E-08   9.035398E+00   4.616595E-06   20.009840
19.542927   6.257294E-08   8.766029E+00   5.612815E-06   19.597342
19.140125   8.562264E-08   8.522728E+00   6.781856E-06   19.192949
18.745220   1.163508E-07   8.307004E+00   8.139806E-06   18.796497
18.358061   1.570467E-07   8.120545E+00   9.707079E-06   18.407839
17.978491   2.106056E-07   7.965701E+00   1.151334E-05   18.026812
17.606363   2.806646E-07   7.845116E+00   1.360005E-05   17.653271
17.241533   3.717702E-07   7.761421E+00   1.596713E-05   17.287067
16.883856   4.895768E-07   7.718463E+00   1.863893E-05   16.928059
16.533194   6.410816E-07   7.719758E+00   2.164278E-05   16.576103
16.189405   8.349044E-07   7.771079E+00   2.505365E-05   16.231060
15.852358   1.081614E-06   7.877433E+00   2.884295E-05   15.892794
15.521920   1.394110E-06   8.045415E+00   3.303489E-05   15.561173
15.197961   1.788084E-06   8.281642E+00   3.766307E-05   15.236066
14.880355   2.282535E-06   8.594829E+00   4.281713E-05   14.917345
14.568975   2.900393E-06   8.995960E+00   4.843791E-05   14.604883
14.263701   3.669219E-06   9.495651E+00   5.454562E-05   14.298559
13.964414   4.622040E-06   1.011011E+01   6.121451E-05   13.998252
13.670994   5.798307E-06   1.085594E+01   6.849231E-05   13.703842
13.383327   7.244972E-06   1.175408E+01   7.630546E-05   13.415215
13.101302   9.017784E-06   1.282763E+01   8.466367E-05   13.132257
12.824806   1.118272E-05   1.410859E+01   9.375485E-05   12.854856
12.553732   1.381769E-05   1.562291E+01   1.034611E-04   12.582903
12.287972   1.701437E-05   1.740878E+01   1.137407E-04   12.316291
12.027424   2.088048E-05   1.950203E+01   1.246589E-04   12.054914
11.771985   2.554222E-05   2.196138E+01   1.363945E-04   11.798672
11.521554   3.114714E-05   2.484102E+01   1.487197E-04   11.547461
11.276033   3.786734E-05   2.822257E+01   1.616323E-04   11.301183
11.035327   4.590319E-05   3.218275E+01   1.754184E-04   11.059741
10.799340   5.548746E-05   3.682435E+01   1.899189E-04   10.823041
10.567981   6.689016E-05   4.224207E+01   2.050090E-04   10.590988
10.341158   8.042366E-05   4.855323E+01   2.207591E-04   10.363493
10.118783   9.644902E-05   5.589169E+01   2.375570E-04   10.140466
9.900767   1.153829E-04   6.445641E+01   2.549256E-04   9.921817
9.687027   1.377050E-04   7.443748E+01   2.728052E-04   9.707461
9.477478   1.639669E-04   8.608986E+01   2.916193E-04   9.497315
9.272038   1.948022E-04   9.977542E+01   3.113179E-04   9.291295
9.070625   2.309372E-04   1.157832E+02   3.315552E-04   9.089320
8.873162   2.732035E-04   1.344976E+02   3.523108E-04   8.891312
8.679571   3.225526E-04   1.564616E+02   3.743403E-04   8.697190
8.489776   3.800704E-04   1.822980E+02   3.970485E-04   8.506881
8.303701   4.469965E-04   2.126601E+02   4.202828E-04   8.320307
8.121276   5.247417E-04   2.485010E+02   4.440027E-04   8.137397
7.942428   6.149123E-04   2.906000E+02   4.693413E-04   7.958079
7.767087   7.193350E-04   3.398000E+02   4.950527E-04   7.782280
7.595183   8.400819E-04   3.971942E+02   5.212266E-04   7.609934
7.426650   9.795041E-04   4.643253E+02   5.478718E-04   7.440971
7.261422   1.140265E-03   5.429333E+02   5.763648E-04   7.275325
7.099433   1.325378E-03   6.353068E+02   6.052976E-04   7.112931
6.940621   1.538249E-03   7.435563E+02   6.346711E-04   6.953725
6.784923   1.782723E-03   8.685904E+02   6.644753E-04   6.797645
6.632277   2.063130E-03   1.012077E+03   6.962297E-04   6.644629
6.482625   2.384360E-03   1.174975E+03   7.286773E-04   6.494617
6.335907   2.751907E-03   1.358810E+03   7.615891E-04   6.347550
6.192066   3.171943E-03   1.561115E+03   7.949370E-04   6.203370
6.051045   3.651393E-03   1.781290E+03   8.297586E-04   6.062021
5.912789   4.198024E-03   2.020880E+03   8.661547E-04   5.923446
5.777245   4.820510E-03   2.281274E+03   9.030498E-04   5.787591
5.644358   5.528554E-03   2.562725E+03   9.403870E-04   5.654404
5.514076   6.332972E-03   2.865126E+03   9.781794E-04   5.523830
5.386349   7.245801E-03   3.189750E+03   1.018699E-03   5.395820
5.261127   8.280423E-03   3.538162E+03   1.060153E-03   5.270323
5.138360   9.451687E-03   3.911979E+03   1.102192E-03   5.147289
5.018000   1.077603E-02   4.312810E+03   1.144799E-03   5.026670
