     z           Phi            Tk          Phi_mini       zpp[0]
35.000000   0.000000E+00   2.563500E+01   0.000000E+00   34.890705
34.064426   3.586431E-17   2.434938E+01   0.000000E+00   34.185760
33.376888   9.831136E-17   2.341563E+01   0.000000E+00   33.494671
32.702835   2.609445E-16   2.251660E+01   0.000000E+00   32.817173
32.041992   6.714228E-16   2.165104E+01   0.000000E+00   32.152985
31.394112   1.676555E-15   2.081780E+01   0.000000E+00   31.501854
30.758934   4.069427E-15   2.001573E+01   0.000000E+00   30.863523
30.136211   9.606147E-15   1.924371E+01   0.000000E+00   30.237740
29.525698   2.207264E-14   1.850068E+01   0.000000E+00   29.624254
28.927155   4.941471E-14   1.778560E+01   0.000000E+00   29.022827
28.340349   1.078825E-13   1.709747E+01   0.000000E+00   28.433222
27.765047   2.298900E-13   1.643531E+01   0.000000E+00   27.855202
27.201029   4.785560E-13   1.579820E+01   0.000000E+00   27.288546
26.648067   9.742864E-13   1.518522E+01   0.000000E+00   26.733023
26.105949   1.941001E-12   1.459549E+01   0.000000E+00   26.188419
25.574459   3.786388E-12   1.402817E+01   0.000000E+00   25.654516
25.053392   7.237695E-12   1.348245E+01   0.000000E+00   25.131105
24.542542   1.356623E-11   1.295752E+01   0.000000E+00   24.617981
24.041708   2.495153E-11   1.245263E+01   0.000000E+00   24.114941
23.550695   4.506128E-11   1.196704E+01   0.000000E+00   23.621784
23.069309   7.995632E-11   1.150004E+01   0.000000E+00   23.138317
22.597363   1.394802E-10   1.105094E+01   0.000000E+00   22.664352
22.134670   2.393542E-10   1.061910E+01   0.000000E+00   22.199699
21.681049   4.042858E-10   1.020388E+01   0.000000E+00   21.744175
21.236322   6.725018E-10   9.804672E+00   0.000000E+00   21.297602
20.800318   1.102270E-09   9.420914E+00   0.000000E+00   20.859804
20.372860   1.781144E-09   9.052057E+00   0.000000E+00   20.430605
19.953785   2.838842E-09   8.697601E+00   0.000000E+00   20.009840
19.542927   4.465605E-09   8.357079E+00   0.000000E+00   19.597342
19.140125   6.935849E-09   8.030076E+00   0.000000E+00   19.192949
18.745220   1.064034E-08   7.716233E+00   0.000000E+00   18.796497
18.358061   1.612993E-08   7.415264E+00   0.000000E+00   18.407839
17.978491   2.417227E-08   7.126957E+00   0.000000E+00   18.026812
17.606363   3.582486E-08   6.851219E+00   0.000000E+00   17.653271
17.241533   5.252970E-08   6.588075E+00   0.000000E+00   17.287067
16.883856   7.623304E-08   6.337729E+00   0.000000E+00   16.928059
