Nested Sampling Global Log-Evidence           :    0.221646011334647852E+03  +/-    0.349175976189476267E+00
Nested Importance Sampling Global Log-Evidence:    0.217888292328557640E+03  +/-    0.763166146302823260E-02

Dim No.       Mean        Sigma
   1    0.603541658914637402E+00    0.288731703086008325E-01
   2    0.782031395037371624E+02    0.100621197125783962E+00
   3    0.617359690156273011E+01    0.721089321499819857E+00
   4    0.188129475743987626E+02    0.200286045187374306E+00
   5    0.175080833090646183E+04    0.260117053206080293E-01
   6   -0.119170607144544107E+03    0.148885383185251408E+00
   7   -0.681991221223578634E+02    0.334577034210170543E+00
   8    0.382377965474077612E+02    0.238506539147676699E+01
   9    0.147572795500815289E+03    0.404277073979198676E+01
  10   -0.161425998894245515E+01    0.290557043525767611E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.605242419160747946E+00
   2    0.781901869645907368E+02
   3    0.604773811967277197E+01
   4    0.189012479243614457E+02
   5    0.175081011884340705E+04
   6   -0.119148760591201153E+03
   7   -0.682104803955057832E+02
   8    0.376841897930880805E+02
   9    0.146565837586900670E+03
  10   -0.162082023623476301E+01

MAP Parameters
Dim No.        Parameter
   1    0.605242419160747946E+00
   2    0.781901869645907368E+02
   3    0.604773811967277197E+01
   4    0.189012479243614457E+02
   5    0.175081011884340705E+04
   6   -0.119148760591201153E+03
   7   -0.682104803955057832E+02
   8    0.376841897930880805E+02
   9    0.146565837586900670E+03
  10   -0.162082023623476301E+01
