Tcmb TR Beta
2.731585617551499201e+00 9.716366307933144153e-01 -2.682084205599116089e+00
2.728331727890409120e+00 1.198220883004230908e+00 -2.625342413393230601e+00
2.727118288197817986e+00 1.312210710774586397e+00 -2.604969390633266713e+00
2.734451807401866219e+00 9.956394407642438216e-01 -2.640052261935592171e+00
2.730357819128967023e+00 1.022280346390473493e+00 -2.664315654100600561e+00
2.729403136981589650e+00 1.295923961078790931e+00 -2.576260730096134210e+00
2.729295369964639395e+00 1.189516153471932070e+00 -2.655460818830892578e+00
2.734547618759260779e+00 1.128383265575773953e+00 -2.640401807298433212e+00
2.728654270752934430e+00 1.203063129332808234e+00 -2.602614371389817549e+00
2.729292426611968470e+00 1.105134883801284440e+00 -2.593690824363297232e+00
2.727714714775007820e+00 1.323405442996848702e+00 -2.586914709456053174e+00
2.737679799585325036e+00 9.285064958491271447e-01 -2.701790645465401042e+00
2.725529050143966181e+00 1.259503603572047048e+00 -2.539122718095800479e+00
2.728246100059581458e+00 1.409618522784126249e+00 -2.587144151691759042e+00
2.734715754318468139e+00 8.581618785440929820e-01 -2.738483039054120383e+00
2.727223949769634892e+00 1.232526375598098856e+00 -2.659730265000419536e+00
2.734910976148085648e+00 9.937469008341708321e-01 -2.714844346629607941e+00
2.731323159862646399e+00 1.169623184933655580e+00 -2.604914268908943065e+00
2.734531974228713747e+00 9.503925069228074118e-01 -2.667298920449898247e+00
2.727674607816720886e+00 1.322174266330550241e+00 -2.611955778259908989e+00
2.725276422067977489e+00 1.276105326180549504e+00 -2.583118455277704228e+00
2.726810461062058266e+00 1.382839669990567177e+00 -2.601308175319076987e+00
2.729399605884168079e+00 1.451644255186688159e+00 -2.576109740318482721e+00
2.733456415521957172e+00 1.041730798924964230e+00 -2.572753833880810248e+00
2.731380307031819221e+00 1.005576597394301386e+00 -2.667810523416442869e+00
2.727745088144877705e+00 1.350551374778882208e+00 -2.582388855636416736e+00
2.722836110351162020e+00 1.243326358357154104e+00 -2.577093646363428192e+00
2.727766253524113615e+00 1.194124075687886810e+00 -2.641985655013423084e+00
2.723638427431716469e+00 1.465586928052104554e+00 -2.534072102907601653e+00
2.734877337726334012e+00 8.467013436443882046e-01 -2.677280658277572556e+00
2.728723781660975511e+00 1.200750792240292242e+00 -2.672260681407344407e+00
2.726600863038029843e+00 1.201252175533232158e+00 -2.591361455607382069e+00
2.735293411922856244e+00 9.398472061698609492e-01 -2.683668105570325757e+00
2.730361218981177451e+00 1.192884447799881897e+00 -2.639854111706199546e+00
2.733504614960442947e+00 1.221359908102259251e+00 -2.605176005191777833e+00
2.730903930014240810e+00 1.233285819748921153e+00 -2.613124793879960883e+00
2.732722639941056020e+00 1.066586898121933080e+00 -2.617273380427679541e+00
2.732603717106431240e+00 1.201450177621557369e+00 -2.589633088485675749e+00
2.730252991628325354e+00 1.169402159475201541e+00 -2.642722784067120578e+00
2.725788834669091276e+00 1.203931481061994324e+00 -2.547703107837718584e+00
2.725741952879816132e+00 1.356043998107933080e+00 -2.556804851989880056e+00
2.731361498244678110e+00 1.400386359322874918e+00 -2.595749262641930066e+00
2.730819904798874376e+00 1.185200136840308671e+00 -2.641038784246729776e+00
2.735231872838052691e+00 1.004404251417406524e+00 -2.679661818843128707e+00
2.725914438830627340e+00 1.439345094809197034e+00 -2.590968789177702902e+00
2.725876653836195374e+00 1.228434200551155708e+00 -2.562533993794567699e+00
2.720681550003932969e+00 1.724984424999650434e+00 -2.487623718418603858e+00
2.727694607997598997e+00 1.174167187510850141e+00 -2.642569913106540547e+00
2.736051311068734115e+00 9.799732270365335562e-01 -2.707234801006591418e+00
2.733275853795746002e+00 1.290786733191351399e+00 -2.593472848708819001e+00
2.732281759248284203e+00 1.262513890388210047e+00 -2.604706084616873696e+00
2.733538980444178534e+00 1.286432646366856947e+00 -2.626954258618660276e+00
2.733797085217900324e+00 1.140274260661718664e+00 -2.597245889581717648e+00
2.731644518580939707e+00 1.107489696156163550e+00 -2.623272640483989449e+00
2.726366816286188488e+00 1.122650056404764785e+00 -2.630994954611703740e+00
2.731948568815901979e+00 1.355899997288623648e+00 -2.542252326343415803e+00
2.726202964979192345e+00 1.363929606317779486e+00 -2.555806748572100773e+00
2.726320320141515374e+00 1.274373044538873678e+00 -2.641924746116046663e+00
2.722773362073289238e+00 1.083741347578149883e+00 -2.562662582602906802e+00
2.717622892417656644e+00 1.524894086592987197e+00 -2.511411244850311419e+00
2.736067164217936387e+00 1.045448156841402021e+00 -2.642633481187402822e+00
2.732038126909501763e+00 1.004553136462563279e+00 -2.600771955552868775e+00
2.738999141199736975e+00 1.019224281644530494e+00 -2.610897428941129306e+00
2.731731649480062529e+00 1.135536804254016818e+00 -2.597770451660545987e+00
2.728879131493719079e+00 1.241447507325882160e+00 -2.550268211358296178e+00
2.721933126589725749e+00 1.188041804530806100e+00 -2.568172482896537545e+00
2.733922316716408396e+00 1.069131868966311183e+00 -2.649670127142250919e+00
2.734875513456185736e+00 1.013011547739807172e+00 -2.607304845370222779e+00
2.725561950403001088e+00 1.125079885566600435e+00 -2.572871712409870781e+00
2.727441194890230847e+00 1.224622166127136591e+00 -2.528693225367954156e+00
2.726292215777117001e+00 1.400990715688171795e+00 -2.581749031747140322e+00
2.727096440295145197e+00 1.283314752850545082e+00 -2.595179385961658980e+00
2.730521008863889598e+00 1.196049093865057200e+00 -2.676926926048100341e+00
2.729357605122291641e+00 1.242899963121121498e+00 -2.645114285000785159e+00
2.731779404067785855e+00 1.159807670980369965e+00 -2.648964672993125546e+00
2.728747686710418119e+00 1.291879848624434279e+00 -2.545740818204200728e+00
2.725372135248147476e+00 1.334232909642359743e+00 -2.494412120630180141e+00
2.729153624758335894e+00 1.397719132631704886e+00 -2.584243355230394279e+00
2.726485413943313230e+00 1.286197149651118199e+00 -2.637943695573056857e+00
2.728847314198148410e+00 1.124906710515412467e+00 -2.588196310829633973e+00
2.730974437782205833e+00 9.625759691023902942e-01 -2.670477661165502781e+00
2.725534879563697110e+00 1.505723548549387392e+00 -2.584462590665107307e+00
2.732722639941056020e+00 1.066586898121933080e+00 -2.617273380427679541e+00
2.724534540037670816e+00 1.327569391453413239e+00 -2.639302888205237174e+00
2.726810461062058266e+00 1.382839669990567177e+00 -2.601308175319076987e+00
2.735495788154051588e+00 1.077433176686622973e+00 -2.675336832610245352e+00
2.722426663814890624e+00 1.431826113086936081e+00 -2.536567815887367239e+00
2.729252414177545383e+00 1.027466674517309775e+00 -2.694242779494615547e+00
2.733635689924598378e+00 1.214784362341157165e+00 -2.635623023291888245e+00
2.729357605122291641e+00 1.242899963121121498e+00 -2.645114285000785159e+00
2.720296561147501624e+00 1.298435147070363005e+00 -2.595626326519314020e+00
2.729111024205007396e+00 1.275319579866087905e+00 -2.580336736947170806e+00
2.728310873895517297e+00 1.167079775879014569e+00 -2.623592568982157758e+00
2.726683414937354222e+00 1.124141765367433710e+00 -2.640960501983852460e+00
2.729979860105849809e+00 1.168787886620230365e+00 -2.600231204193423018e+00
2.735563756798992330e+00 1.164867578047767305e+00 -2.664373265219042608e+00
2.737052030800910529e+00 1.121476271889636722e+00 -2.643439046439838513e+00
2.728570032847917659e+00 1.221716887962351450e+00 -2.599701220698796611e+00
2.729851642812688883e+00 1.148905426568215926e+00 -2.649043111435358533e+00
