logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 3.000000000000000000e+02 -1.582627096363896164e+43 -1.582627096363896164e+43 1.840000000000000080e+00
-1.582627096363896164e+43 nan -3.333333333333333547e-03 3.000000000000000000e+02 -1.025955464414134907e+43 -1.025955464414134907e+43 1.166666666666666741e+00
-1.025955464414134907e+43 nan -6.666666666666667095e-03 3.000000000000000000e+02 -7.085276067319522652e+42 -7.085276067319522652e+42 7.199999999999999734e-01
-7.085276067319522652e+42 1.374502943108207736e+42 -1.000000000000000021e-02 3.000000000000000000e+02 -5.292939374877837679e+42 -5.292939374877837679e+42 6.999999999999999556e-01
-5.292939374877837679e+42 1.416356399854365950e+42 -1.333333333333333419e-02 3.000000000000000000e+02 -4.863799761105166482e+42 -4.863799761105166482e+42 1.439999999999999947e+00
-4.863799761105166482e+42 0.000000000000000000e+00 -1.666666666666666644e-02 3.000000000000000000e+02 -6.084512736177757983e+41 -6.084512736177757983e+41 4.866666666666666918e-01
-6.084512736177757983e+41 2.127674243743695381e+42 -2.000000000000000042e-02 3.000000000000000000e+02 -2.539440379087997280e+41 -2.539440379087997280e+41 1.246666666666666590e+00
-2.539440379087997280e+41 1.696514166569747845e+42 -2.333333333333333440e-02 3.000000000000000000e+02 -1.592051396410427470e+41 -1.592051396410427470e+41 3.800000000000000044e-01
-1.592051396410427470e+41 3.530710277335694498e+40 -2.666666666666666838e-02 3.000000000000000000e+02 -1.310730085868086749e+41 -1.310730085868086749e+41 1.026666666666666616e+00
-1.310730085868086749e+41 3.260471445042883401e+40 -3.000000000000000236e-02 3.000000000000000000e+02 -8.157614517563757177e+40 -8.157614517563757177e+40 1.413333333333333330e+00
-8.157614517563757177e+40 5.018503753082794617e+40 -3.333333333333333287e-02 3.000000000000000000e+02 -4.409157120139165556e+40 -4.409157120139165556e+40 1.966666666666666563e+00
-4.409157120139165556e+40 3.740221558647071346e+40 -3.666666666666666685e-02 3.000000000000000000e+02 -1.558482252466261121e+40 -1.558482252466261121e+40 8.466666666666666785e-01
-1.558482252466261121e+40 1.998847515602043398e+40 -4.000000000000000083e-02 3.000000000000000000e+02 -6.336531307830877870e+38 -6.336531307830877870e+38 2.333333333333333370e-01
-6.336531307830877870e+38 2.328590656056936358e+40 -4.333333333333333481e-02 3.000000000000000000e+02 -4.208260342788596685e+38 -4.208260342788596685e+38 1.719999999999999973e+00
-4.208260342788596685e+38 2.235808437621742588e+40 -4.666666666666666879e-02 3.000000000000000000e+02 -3.584230128583352901e+38 -3.584230128583352901e+38 1.300000000000000044e+00
