weight logl Tcmb TR Beta
0.000000000000000000e+00 -1.582627096363896164e+43 2.897573801654607983e+00 5.658704602029855479e+00 9.863791612805432152e+00
0.000000000000000000e+00 -1.025955464414134907e+43 1.268963517037101640e+00 6.803522490597130101e+00 9.774681973292512538e+00
0.000000000000000000e+00 -7.085276067319522652e+42 2.871741388892320224e+00 3.387961811150069558e+00 9.888490495606518493e+00
0.000000000000000000e+00 -5.292939374877837679e+42 7.589222645080635488e+00 6.583874447826944198e+00 9.708434560451099316e+00
0.000000000000000000e+00 -4.863799761105166482e+42 8.879435045467262810e+00 7.449269674743445258e+00 9.671595339030620408e+00
0.000000000000000000e+00 -6.084512736177757983e+41 8.832304076817463212e+00 2.012999133193118517e+00 9.731411440130194990e+00
0.000000000000000000e+00 -2.539440379087997280e+41 9.209548368379557814e+00 2.183841751281777377e+00 9.616215159462832673e+00
0.000000000000000000e+00 -1.592051396410427470e+41 2.329218265873925553e+00 2.726814270124532591e+00 9.514986749518893561e+00
0.000000000000000000e+00 -1.310730085868086749e+41 8.814698548601393568e+00 9.676356202120201644e+00 9.211913720428395180e+00
0.000000000000000000e+00 -8.157614517563757177e+40 7.321786971555537704e+00 6.761099569872143000e+00 9.238890654225588861e+00
0.000000000000000000e+00 -4.409157120139165556e+40 7.226581093462129957e+00 2.754497239115226925e+00 9.370077642095367310e+00
0.000000000000000000e+00 -1.558482252466261121e+40 8.060805185177517984e+00 9.273360862542700644e+00 8.984751014378108636e+00
0.000000000000000000e+00 -6.336531307830877870e+38 6.380038233792718394e+00 2.973691130812220251e+00 8.881650281277867265e+00
0.000000000000000000e+00 -4.208260342788596685e+38 5.801037371184147418e+00 5.152880755045266881e+00 8.714000296151976244e+00
0.000000000000000000e+00 -3.584230128583352901e+38 5.658182207251409856e+00 4.079506184865918428e+00 8.748074439720845419e+00
0.000000000000000000e+00 -2.238616554148631212e+38 9.933845243900043087e+00 6.712307869284181550e+00 8.585109834252943273e+00
0.000000000000000000e+00 -1.152557809364016437e+38 7.670579999761106826e+00 4.929891872715034040e+00 8.579929298681289396e+00
0.000000000000000000e+00 -6.902236950292406989e+37 5.167623483315636257e+00 3.457727969315872230e+00 8.601784387895619943e+00
0.000000000000000000e+00 -6.136877486162229737e+37 3.989143272581241462e+00 1.918407676334528134e+00 8.719645253574562105e+00
0.000000000000000000e+00 -3.735260138764902235e+37 8.054574762541072630e+00 8.239058595243555772e+00 8.340598137064162643e+00
0.000000000000000000e+00 -2.908132799204257214e+37 4.674437605848180688e-01 1.083374537742776145e+00 8.763649858693906225e+00
0.000000000000000000e+00 -2.127371937940580008e+37 5.923981337653517976e+00 8.865766533420501361e+00 8.261755612689196226e+00
0.000000000000000000e+00 -1.834508444495067652e+37 3.672681275004210377e+00 6.318565913472318218e-01 8.832276369302089591e+00
0.000000000000000000e+00 -1.649035646942032440e+37 7.772394201056721741e+00 1.840774702436613897e+00 8.582805308076803641e+00
0.000000000000000000e+00 -8.085249669052015361e+36 8.690337223522936583e+00 3.248767425679508491e+00 8.377361875564272253e+00
0.000000000000000000e+00 -3.668349031180016304e+36 2.857068910946888529e+00 1.571029626160614923e+00 8.451008239331056160e+00
0.000000000000000000e+00 -3.171816816032486524e+36 8.772485503919909888e+00 6.755815738438830653e-01 8.622391934465255758e+00
