weight logl Tcmb TR Beta
0.000000000000000000e+00 -1.582627096363896164e+43 2.897573801654608205e-01 5.658704602029855923e-01 9.931895806402716298e-01
0.000000000000000000e+00 -1.025955464414134907e+43 1.268963517037101640e-01 6.803522490597130323e-01 9.887340986646256935e-01
0.000000000000000000e+00 -7.085276067319522652e+42 2.871741388892320446e-01 3.387961811150069780e-01 9.944245247803258358e-01
0.000000000000000000e+00 -5.292939374877837679e+42 7.589222645080635488e-01 6.583874447826943976e-01 9.854217280225550102e-01
0.000000000000000000e+00 -4.863799761105166482e+42 8.879435045467263254e-01 7.449269674743445036e-01 9.835797669515310426e-01
0.000000000000000000e+00 -6.084512736177757983e+41 8.832304076817463212e-01 2.012999133193118517e-01 9.865705720065096607e-01
0.000000000000000000e+00 -2.539440379087997280e+41 9.209548368379557592e-01 2.183841751281777599e-01 9.808107579731415449e-01
0.000000000000000000e+00 -1.592051396410427470e+41 2.329218265873925775e-01 2.726814270124532369e-01 9.757493374759446114e-01
0.000000000000000000e+00 -1.310730085868086749e+41 8.814698548601392902e-01 9.676356202120202088e-01 9.605956860214197590e-01
0.000000000000000000e+00 -8.157614517563757177e+40 7.321786971555537260e-01 6.761099569872143222e-01 9.619445327112794430e-01
0.000000000000000000e+00 -4.409157120139165556e+40 7.226581093462129957e-01 2.754497239115226703e-01 9.685038821047683433e-01
0.000000000000000000e+00 -1.558482252466261121e+40 8.060805185177518650e-01 9.273360862542699978e-01 9.492375507189053652e-01
0.000000000000000000e+00 -6.336531307830877870e+38 6.380038233792718616e-01 2.973691130812220473e-01 9.440825140638934299e-01
0.000000000000000000e+00 -4.208260342788596685e+38 5.801037371184147862e-01 5.152880755045267103e-01 9.357000148075987900e-01
0.000000000000000000e+00 -3.584230128583352901e+38 5.658182207251409856e-01 4.079506184865918650e-01 9.374037219860422709e-01
0.000000000000000000e+00 -2.238616554148631212e+38 9.933845243900042421e-01 6.712307869284181994e-01 9.292554917126470970e-01
0.000000000000000000e+00 -1.152557809364016437e+38 7.670579999761106826e-01 4.929891872715034262e-01 9.289964649340645142e-01
0.000000000000000000e+00 -6.902236950292406989e+37 5.167623483315636479e-01 3.457727969315872452e-01 9.300892193947810638e-01
0.000000000000000000e+00 -6.136877486162229737e+37 3.989143272581241462e-01 1.918407676334528134e-01 9.359822626787281941e-01
0.000000000000000000e+00 -3.735260138764902235e+37 8.054574762541073518e-01 8.239058595243555772e-01 9.170299068532081765e-01
0.000000000000000000e+00 -2.908132799204257214e+37 4.674437605848180688e-02 1.083374537742776145e-01 9.381824929346952446e-01
0.000000000000000000e+00 -2.127371937940580008e+37 5.923981337653517754e-01 8.865766533420500473e-01 9.130877806344598335e-01
0.000000000000000000e+00 -1.834508444495067652e+37 3.672681275004210377e-01 6.318565913472318218e-02 9.416138184651045018e-01
0.000000000000000000e+00 -1.649035646942032440e+37 7.772394201056721519e-01 1.840774702436613897e-01 9.291402654038402043e-01
0.000000000000000000e+00 -8.085249669052015361e+36 8.690337223522935917e-01 3.248767425679508491e-01 9.188680937782136571e-01
0.000000000000000000e+00 -3.668349031180016304e+36 2.857068910946888307e-01 1.571029626160614923e-01 9.225504119665528524e-01
0.000000000000000000e+00 -3.171816816032486524e+36 8.772485503919910110e-01 6.755815738438830653e-02 9.311195967232627213e-01
0.000000000000000000e+00 -8.161267212358763455e+35 4.886345960439475444e-01 9.995660194001796395e-01 8.936393727687607091e-01
0.000000000000000000e+00 -4.863078870450674623e+35 1.350941089105733850e-01 9.477802531385102203e-01 8.913541058646418103e-01
0.000000000000000000e+00 -1.591103364031665731e+35 1.397731976595233405e-01 8.633184043619135384e-02 9.117694379868580556e-01
0.000000000000000000e+00 -1.562674714623949764e+35 2.100403635911320954e-01 9.093674430406553100e-01 8.855064920487274449e-01
0.000000000000000000e+00 -9.440187204693898413e+34 4.761499793925538793e-02 7.459328467547825525e-01 8.849076840987694093e-01
0.000000000000000000e+00 -5.873334055801396489e+34 8.648609105749135439e-01 9.186420922488458540e-02 9.055424168751794456e-01
0.000000000000000000e+00 -3.600532597960494087e+34 6.735416340417527126e-01 5.003824320143486215e-01 8.839889329277089702e-01
0.000000000000000000e+00 -3.127819410055127899e+34 4.287235681891149452e-01 8.157732413108031988e-02 9.033614022227882678e-01
0.000000000000000000e+00 -1.874972425212707537e+34 6.173346523692940790e-01 8.761744393199625280e-01 8.741392224750103024e-01
0.000000000000000000e+00 -1.826136644064279796e+34 9.639914232718191922e-01 6.608887730865317112e-01 8.771258374371388999e-01
0.000000000000000000e+00 -1.771237746319717270e+34 7.874714226840974218e-01 1.151442988928509381e-01 8.963726229705180071e-01
0.000000000000000000e+00 -4.842453303366591761e+33 1.913888782020667367e-02 5.749848878704825195e-01 8.712984651842829997e-01
