01:43:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=data/, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=1000..65536
01:43:24 [ultranest] [INFO] Sampling 300 live points from prior ...
01:43:25 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
01:43:25 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
01:43:25 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 300.0), (inf, 300.0)]
01:43:27 [ultranest] [DEBUG] iteration=0, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-inf, remainder_fraction=100.0000%, Lmin=-15826270963638961643232828075397725890281472.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=30, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-159110336403166573051142346807181312.00, remainder_fraction=100.0000%, Lmin=-156267471462394976380728136339292160.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=60, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-9826965540363409199054916157440.00, remainder_fraction=100.0000%, Lmin=-5624592848435598642008077369344.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=90, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-109716144539575099162886144.00, remainder_fraction=100.0000%, Lmin=-77621364595711326264754176.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=120, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-383795264074568121188352.00, remainder_fraction=100.0000%, Lmin=-353377985154440973254656.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=134, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-55974899750584652398592.00, remainder_fraction=100.0000%, Lmin=-48047557922902249570304.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=150, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-2949837997386889691136.00, remainder_fraction=100.0000%, Lmin=-2865727103891281543168.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=180, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-52210620272789012480.00, remainder_fraction=100.0000%, Lmin=-41829012085851185152.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=210, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-769938913494645120.00, remainder_fraction=100.0000%, Lmin=-745586556132586624.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=240, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-15233281266537406.00, remainder_fraction=100.0000%, Lmin=-14959853653388566.00, Lmax=-2266.19
01:43:27 [ultranest] [DEBUG] iteration=268, ncalls=1300, regioncalls=1000, ndraw=1000, logz=-1018884149518530.12, remainder_fraction=100.0000%, Lmin=-1013913333487864.00, Lmax=-2266.19
